,city,n_tech_jobs,lat,lng,postdate_timespan,prevalent_job_type,size,color
165,"Bristol, CT",13.0,41.6812,-72.9407,2,other,12.755847953216374,0.6666666666666666
166,"Bristol, PA",2.0,38.9497,-77.3461,2,other,10.423976608187134,0.6666666666666666
167,"Broadview Heights, OH",1.0,41.4764,-81.6805,2,other,10.211988304093568,0.6666666666666666
168,"Brockton, MA",1.0,42.0821,-71.0242,2,managment,10.211988304093568,0.6666666666666666
169,"Broken Arrow, OK",1.0,36.038,-95.7806,2,other,10.211988304093568,0.6666666666666666
170,"Bronx, NY",6.0,40.8501,-73.8662,2,other,11.271929824561404,0.6666666666666666
171,"Brookfield, WI",1.0,40.6943,-73.9249,2,managment,10.211988304093568,0.6666666666666666
172,"Brooklyn Park, MN",1.0,30.4255,-86.6222,2,other,10.211988304093568,0.6666666666666666
173,"Brooklyn, NY",48.0,40.6501,-73.9496,2,other,20.175438596491226,0.6666666666666666
174,"Brooklyn, OH",4.0,39.0834,-77.1553,2,other,10.847953216374268,0.6666666666666666
175,"Broomall, PA",4.0,40.7245,-74.1725,2,other,10.847953216374268,0.6666666666666666
176,"Broomfield, CO",13.0,38.887,-94.687,2,other,12.755847953216374,0.6666666666666666
177,"Brown Deer, WI",1.0,42.3188,-71.0852,2,other,10.211988304093568,0.6666666666666666
178,"Bryan, TX",2.0,47.6211,-122.3244,2,other,10.423976608187134,0.6666666666666666
179,"Bryn Mawr, PA",4.0,40.1509,-74.982,2,managment,10.847953216374268,0.6666666666666666
180,"Buckhead, GA",2.0,33.9508,-83.3689,2,managment,10.423976608187134,0.6666666666666666
181,"Buena Park, CA",2.0,29.786,-95.3885,2,other,10.423976608187134,0.6666666666666666
182,"Buffalo Grove, IL",6.0,30.1738,-95.5134,2,other,11.271929824561404,0.6666666666666666
183,"Buffalo, NY",2.0,41.8375,-87.6866,2,managment,10.423976608187134,0.6666666666666666
184,"Buford, GA",2.0,34.0704,-84.2738,2,other,10.423976608187134,0.6666666666666666
185,"Bunker Hill Village, TX",5.0,47.6211,-122.3244,2,other,11.059941520467836,0.6666666666666666
186,"Burbank, CA",17.0,34.1879,-118.3235,2,managment,13.603801169590643,0.6666666666666666
187,"Burlingame, CA",6.0,38.5677,-121.4685,2,other,11.271929824561404,0.6666666666666666
188,"Burlington, MA",33.0,39.3051,-76.6144,2,other,16.99561403508772,0.6666666666666666
189,"Burlington, NC",3.0,38.8786,-77.1011,2,other,10.635964912280702,0.6666666666666666
190,"Burlington, NJ",2.0,,,2,other,10.423976608187134,0.6666666666666666
191,"Burlington, ON",1.0,32.7935,-96.7667,2,managment,10.211988304093568,0.6666666666666666
192,"Burlington, VT",4.0,40.6943,-73.9249,2,other,10.847953216374268,0.6666666666666666
193,"Burlington,, MA",1.0,,,2,other,10.211988304093568,0.6666666666666666
194,"Burr Ridge, IL",4.0,41.989,-87.8718,3,other,10.847953216374268,1.0
195,"Butler, PA",1.0,47.6211,-122.3244,3,managment,10.211988304093568,1.0
196,"Byhalia, MS",1.0,41.8375,-87.6866,3,other,10.211988304093568,1.0
197,Ca,3.0,29.786,-95.3885,3,other,10.635964912280702,1.0
198,"Calabasas, CA",3.0,32.7935,-96.7667,3,other,10.635964912280702,1.0
199,"Caledonia, MI",1.0,33.7628,-84.422,3,other,10.211988304093568,1.0
200,"Calgary, AB",3.0,42.3188,-71.0852,3,other,10.635964912280702,1.0
201,"Calvert, AL",1.0,41.4764,-81.6805,3,other,10.211988304093568,1.0
202,"Cambridge, MA",91.0,42.3759,-71.1185,3,other,29.29093567251462,1.0
203,"Camden, NJ",10.0,39.9361,-75.1073,3,other,12.119883040935672,1.0
204,"Camp Hill, PA",6.0,39.3051,-76.6144,3,other,11.271929824561404,1.0
205,"Camp Pendleton, CA",1.0,,,3,other,10.211988304093568,1.0
206,"Campbell, CA",39.0,37.2802,-121.9539,3,other,18.267543859649123,1.0
207,"Canonsburg, PA",1.0,35.9792,-78.9022,3,other,10.211988304093568,1.0
208,"Cape Coral, FL",1.0,43.0822,-89.393,3,other,10.211988304093568,1.0
